participant,channel,reference_trial,maximum_mV,reference_selection
C06,l_semiten,trial_f1bf10eeea,0.4728731769905522,participant_dynamic_maximum
C06,l_soleus,trial_87e976b769,0.3549894203626072,participant_dynamic_maximum
C06,l_tfl,trial_5946ca5426,0.2528947372275529,participant_dynamic_maximum
C06,l_tibant,trial_9316b4a838,0.311041757749862,participant_dynamic_maximum
C06,l_vaslat,trial_49b3331954,0.57463615622119,participant_dynamic_maximum
C06,l_vasmed,trial_49b3331954,0.7567915498196814,participant_dynamic_maximum
C06,r_add,trial_49b3331954,0.1649601949743381,protocol_or_qc_override
C06,r_bflh,trial_f1bf10eeea,0.377697648172303,participant_dynamic_maximum
C06,r_glmax,trial_5946ca5426,0.0864395878583078,participant_dynamic_maximum
C06,r_glmed,trial_87e976b769,0.1354289824661907,participant_dynamic_maximum
C06,r_latgas,trial_56af8361a5,0.3008447730036017,participant_dynamic_maximum
C06,r_medgas,trial_f1bf10eeea,0.4030926515673318,participant_dynamic_maximum
C06,r_recfem,trial_9316b4a838,0.4238883432390683,participant_dynamic_maximum
C06,r_semiten,trial_f1bf10eeea,0.3191841879911549,participant_dynamic_maximum
C06,r_soleus,trial_b4af0473c9,0.3635749521677128,participant_dynamic_maximum
C06,r_tfl,trial_ffc10db23f,0.1465461120406711,participant_dynamic_maximum
C06,r_tibant,trial_9316b4a838,0.2448277097801835,participant_dynamic_maximum
C06,r_vaslat,trial_49b3331954,0.7270871667515861,participant_dynamic_maximum
C06,r_vasmed,trial_49b3331954,0.7894183846191016,participant_dynamic_maximum
C07,l_bflh,trial_b4af0473c9,0.586271294127718,participant_dynamic_maximum
C07,l_glmax,trial_236590d739,0.1750736637257079,participant_dynamic_maximum
C07,l_glmed,trial_b4af0473c9,0.0940174711393411,participant_dynamic_maximum
C07,l_latgas,trial_91cbbc0bef,0.3808751498438927,participant_dynamic_maximum
C07,l_medgas,trial_9316b4a838,0.391902041603286,participant_dynamic_maximum
C07,l_recfem,trial_9316b4a838,0.6718845669571065,participant_dynamic_maximum
C07,l_semiten,trial_5946ca5426,0.7808863976313285,participant_dynamic_maximum
C07,l_soleus,trial_9316b4a838,0.8963815195759054,participant_dynamic_maximum
C07,l_tfl,trial_b4af0473c9,0.3890256708353523,participant_dynamic_maximum
C07,l_tibant,trial_5946ca5426,0.4337885911956282,participant_dynamic_maximum
C07,l_vaslat,trial_49b3331954,0.6641497281242069,participant_dynamic_maximum
C07,l_vasmed,trial_56af8361a5,1.1838397307174715,participant_dynamic_maximum
C07,r_add,trial_91cbbc0bef,0.1956749147521269,participant_dynamic_maximum
C07,r_bflh,trial_91cbbc0bef,0.4993731422743459,participant_dynamic_maximum
C07,r_glmax,trial_b4af0473c9,0.1702358184276805,participant_dynamic_maximum
C07,r_glmed,trial_49b3331954,0.1252455438951787,participant_dynamic_maximum
C07,r_latgas,trial_9316b4a838,0.5665627356062576,participant_dynamic_maximum
C07,r_medgas,trial_2d8fda059c,0.429311781882655,participant_dynamic_maximum
C07,r_recfem,trial_56af8361a5,0.6768778996738961,participant_dynamic_maximum
C07,r_semiten,trial_236590d739,1.0784802350167153,participant_dynamic_maximum
C07,r_soleus,trial_91cbbc0bef,0.8331629681662669,participant_dynamic_maximum
C07,r_tfl,trial_236590d739,0.2180645246803782,participant_dynamic_maximum
C07,r_tibant,trial_56af8361a5,0.3430608324121978,participant_dynamic_maximum
C07,r_vaslat,trial_236590d739,0.5987613718633356,participant_dynamic_maximum
C07,r_vasmed,trial_236590d739,0.6491884084019479,participant_dynamic_maximum
